Camera Number,Latitude,Longitude,Main Road,Cross Street,Traffic Image,Reference Static Image
"""Camera 50""",43.7,-79.43655968,Allen Road,Eglinton Ave,http://opendata.toronto.ca/transportation/cameras/loc50.jpg,http://www.toronto.ca/rescu/images/loc50n.jpg
"""Camera 51""",43.70191335,-79.43731901,Allen Road,Elmridge,http://opendata.toronto.ca/transportation/cameras/loc51.jpg,http://www.toronto.ca/rescu/images/loc51n.jpg
"""Camera 52""",43.70795507,-79.4408243,Allen Road,Viewmount,http://opendata.toronto.ca/transportation/cameras/loc52.jpg,http://www.toronto.ca/rescu/images/loc52n.jpg
"""Camera 53""",43.71243895,-79.44328934,Allen Road,Glengrove,http://opendata.toronto.ca/transportation/cameras/loc53.jpg,http://www.toronto.ca/rescu/images/loc53n.jpg
"""Camera 54""",43.71657142,-79.44510974,Allen Road,Lawrence,http://opendata.toronto.ca/transportation/cameras/loc54.jpg,http://www.toronto.ca/rescu/images/loc54n.jpg
"""Camera 55""",43.72825016,-79.44866646,Allen Road,HWY 401,http://opendata.toronto.ca/transportation/cameras/loc55.jpg,http://www.toronto.ca/rescu/images/loc55n.jpg
"""Camera 56""",43.73910478,-79.45237667,Allen Road,Transit Road,http://opendata.toronto.ca/transportation/cameras/loc56.jpg,http://www.toronto.ca/rescu/images/loc56n.jpg
"""Camera 57""",43.75014442,-79.46367992,Allen Road,Sheppard,http://opendata.toronto.ca/transportation/cameras/loc57.jpg,http://www.toronto.ca/rescu/images/loc57n.jpg
"""Camera 58""",43.76919207,-79.4674444,Allen Road,Finch,http://opendata.toronto.ca/transportation/cameras/loc58.jpg,http://www.toronto.ca/rescu/images/loc58n.jpg
"""Camera 2""",43.64989853,-79.34970093,DVP,Gardiner Ramp,http://opendata.toronto.ca/transportation/cameras/loc2.jpg,http://www.toronto.ca/rescu/images/loc2e.jpg
"""Camera 65""",43.65641565,-79.35187966,DVP,Eastern,http://opendata.toronto.ca/transportation/cameras/loc65.jpg,http://www.toronto.ca/rescu/images/loc65n.jpg
"""Camera 66""",43.66207405,-79.35486495,DVP,Dundas,http://opendata.toronto.ca/transportation/cameras/loc66.jpg,http://www.toronto.ca/rescu/images/loc66n.jpg
"""Camera 67""",43.67196915,-79.35903311,DVP,Danforth,http://opendata.toronto.ca/transportation/cameras/loc67.jpg,http://www.toronto.ca/rescu/images/loc67n.jpg
"""Camera 68""",43.68149406,-79.36279893,DVP,Bloor Ramp,http://opendata.toronto.ca/transportation/cameras/loc68.jpg,http://www.toronto.ca/rescu/images/loc68n.jpg
"""Camera 69""",43.69345335,-79.35734063,DVP,Beechwood,http://opendata.toronto.ca/transportation/cameras/loc69.jpg,http://www.toronto.ca/rescu/images/loc69n.jpg
"""Camera 70""",43.69818521,-79.3495515,DVP,Millwood,http://opendata.toronto.ca/transportation/cameras/loc70.jpg,http://www.toronto.ca/rescu/images/loc70n.jpg
"""Camera 71""",43.70060626,-79.33735549,DVP,Don Mills,http://opendata.toronto.ca/transportation/cameras/loc71.jpg,http://www.toronto.ca/rescu/images/loc71n.jpg
"""Camera 73""",43.70722511,-79.33147475,DVP,CN Railway,http://opendata.toronto.ca/transportation/cameras/loc73.jpg,http://www.toronto.ca/rescu/images/loc73n.jpg
"""Camera 74""",43.71268485,-79.32499051,DVP,Spanbridge,http://opendata.toronto.ca/transportation/cameras/loc74.jpg,http://www.toronto.ca/rescu/images/loc74n.jpg
"""Camera 75""",43.71808399,-79.3273294,DVP,St Dennis,http://opendata.toronto.ca/transportation/cameras/loc75.jpg,http://www.toronto.ca/rescu/images/loc75n.jpg
"""Camera 76""",43.72377341,-79.3299365,DVP,Eglinton,http://opendata.toronto.ca/transportation/cameras/loc76.jpg,http://www.toronto.ca/rescu/images/loc76n.jpg
"""Camera 81""",43.726984,-79.330016,DVP,Wynford,http://opendata.toronto.ca/transportation/cameras/loc81.jpg,http://www.toronto.ca/rescu/images/loc81n.jpg
"""Camera 77""",43.73088393,-79.33060169,DVP,Twin Tunnels,http://opendata.toronto.ca/transportation/cameras/loc77.jpg,http://www.toronto.ca/rescu/images/loc77n.jpg
"""Camera 78""",43.73983073,-79.33194816,DVP,Lawrence,http://opendata.toronto.ca/transportation/cameras/loc78.jpg,http://www.toronto.ca/rescu/images/loc78n.jpg
"""Camera 79""",43.75184717,-79.33348909,DVP,Three Valleys,http://opendata.toronto.ca/transportation/cameras/loc79.jpg,http://www.toronto.ca/rescu/images/loc79n.jpg
"""Camera 80""",43.75795667,-79.33530092,DVP,York Mills,http://opendata.toronto.ca/transportation/cameras/loc80.jpg,http://www.toronto.ca/rescu/images/loc80n.jpg
"""Camera 72""",43.70896623,-79.33342338,Don Mills,Overlea,http://opendata.toronto.ca/transportation/cameras/loc72.jpg,http://www.toronto.ca/rescu/images/loc72n.jpg
"""Camera 3""",43.64824534,-79.35967684,Gardiner,Parliament St,http://opendata.toronto.ca/transportation/cameras/loc3.jpg,http://www.toronto.ca/rescu/images/loc3e.jpg
"""Camera 6""",43.64581299,-79.36993408,Gardiner,Jarvis St.,http://opendata.toronto.ca/transportation/cameras/loc6.jpg,http://www.toronto.ca/rescu/images/loc6e.jpg
"""Camera 9""",43.64232263,-79.37921673,Gardiner,York,http://opendata.toronto.ca/transportation/cameras/loc9.jpg,http://www.toronto.ca/rescu/images/loc9e.jpg
"""Camera 10""",43.64097847,-79.38076973,Gardiner,York,http://opendata.toronto.ca/transportation/cameras/loc10.jpg,http://www.toronto.ca/rescu/images/loc10e.jpg
"""Camera 12""",43.63944113,-79.38698977,Gardiner,Skydome,http://opendata.toronto.ca/transportation/cameras/loc12.jpg,http://www.toronto.ca/rescu/images/loc12e.jpg
"""Camera 13""",43.63899593,-79.39168701,Gardiner,East of Spadina,http://opendata.toronto.ca/transportation/cameras/loc133.jpg,http://www.toronto.ca/rescu/images/loc133e.jpg
"""Camera 14""",43.63810193,-79.3945114,Gardiner,Spadina,http://opendata.toronto.ca/transportation/cameras/loc13.jpg,http://www.toronto.ca/rescu/images/loc13e.jpg
"""Camera 15""",43.63796997,-79.40029907,Gardiner,Bathurst St.,http://opendata.toronto.ca/transportation/cameras/loc14.jpg,http://www.toronto.ca/rescu/images/loc14e.jpg
"""Camera 17""",43.63740158,-79.41020203,Gardiner,Strachan Ave.,http://opendata.toronto.ca/transportation/cameras/loc16.jpg,http://www.toronto.ca/rescu/images/loc16e.jpg
"""Camera 21""",43.63451925,-79.42225277,Gardiner,Dufferin St.,http://opendata.toronto.ca/transportation/cameras/loc20.jpg,http://www.toronto.ca/rescu/images/loc20e.jpg
"""Camera 22""",43.63249969,-79.43119812,Gardiner,Dunn Ave.,http://opendata.toronto.ca/transportation/cameras/loc21.jpg,http://www.toronto.ca/rescu/images/loc21e.jpg
"""Camera 25""",43.6344986,-79.43840027,Gardiner,Dowling Ave.,http://opendata.toronto.ca/transportation/cameras/loc22.jpg,http://www.toronto.ca/rescu/images/loc22e.jpg
"""Camera 26""",43.63829809,-79.44996402,Gardiner,Sunnyside,http://opendata.toronto.ca/transportation/cameras/loc23.jpg,http://www.toronto.ca/rescu/images/loc23e.jpg
"""Camera 29""",43.63700104,-79.46569824,Gardiner,Ellis Ave.,http://opendata.toronto.ca/transportation/cameras/loc24.jpg,http://www.toronto.ca/rescu/images/loc24e.jpg
"""Camera 31""",43.63507445,-79.46952403,Gardiner,Kingsway,http://opendata.toronto.ca/transportation/cameras/loc25.jpg,http://www.toronto.ca/rescu/images/loc25e.jpg
"""Camera 32""",43.63153644,-79.47435261,Gardiner,Humber East,http://opendata.toronto.ca/transportation/cameras/loc26.jpg,http://www.toronto.ca/rescu/images/loc26e.jpg
